,industry,industry_Disp,indistry_map_dic,sector,sectorKey,sectorDisp
INTA,Software - Application,Software - Application,software-application,Technology,technology,Technology
BBN,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
PLYA,Resorts & Casinos,Resorts & Casinos,resorts-casinos,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
LICY,Waste Management,Waste Management,waste-management,Industrials,industrials,Industrials
PARR,Oil & Gas Refining & Marketing,Oil & Gas Refining & Marketing,oil-gas-refining-marketing,Energy,energy,Energy
ARQQ,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
ZUO,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
AXL,Auto Parts,Auto Parts,auto-parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
UEC,Uranium,Uranium,uranium,Energy,energy,Energy
SXI,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
CRNX,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
DDL,Grocery Stores,Grocery Stores,grocery-stores,Consumer Defensive,consumer-defensive,Consumer Defensive
NRC,Health Information Services,Health Information Services,health-information-services,Healthcare,healthcare,Healthcare
MRUS,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
AZZ,Specialty Business Services,Specialty Business Services,specialty-business-services,Industrials,industrials,Industrials
EQX,Gold,Gold,gold,Basic Materials,basic-materials,Basic Materials
APOG,Building Products & Equipment,Building Products & Equipment,building-products-equipment,Industrials,industrials,Industrials
VECO,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,semiconductor-equipment-materials,Technology,technology,Technology
CASH,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
OEC,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
RCKT,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
PRO,Software - Application,Software - Application,software-application,Technology,technology,Technology
CCSI,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
DCBO,Software - Application,Software - Application,software-application,Technology,technology,Technology
PFBC,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
DCGO,Medical Care Facilities,Medical Care Facilities,medical-care-facilities,Healthcare,healthcare,Healthcare
ATEN,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
AMCX,Entertainment,Entertainment,entertainment,Communication Services,communication-services,Communication Services
CNOB,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
MTTR,Software - Application,Software - Application,software-application,Technology,technology,Technology
RNA,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
MGNI,Advertising Agencies,Advertising Agencies,advertising-agencies,Communication Services,communication-services,Communication Services
GEO,Security & Protection Services,Security & Protection Services,security-protection-services,Industrials,industrials,Industrials
USPH,Medical Care Facilities,Medical Care Facilities,medical-care-facilities,Healthcare,healthcare,Healthcare
GLP,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
CDNA,Diagnostics & Research,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,Healthcare
KIDS,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
AUPH,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
BTZ,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
BLNK,Engineering & Construction,Engineering & Construction,engineering-construction,Industrials,industrials,Industrials
AMTB,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
SNBR,"Furnishings, Fixtures & Appliances","Furnishings, Fixtures & Appliances",furnishings-fixtures-appliances,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
SLCA,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,oil-gas-equipment-services,Energy,energy,Energy
PERI,Internet Content & Information,Internet Content & Information,internet-content-information,Communication Services,communication-services,Communication Services
BRKL,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
KURA,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
PFC,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
TSE,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
BFS,REIT - Retail,REIT - Retail,reit-retail,Real Estate,real-estate,Real Estate
SA,Gold,Gold,gold,Basic Materials,basic-materials,Basic Materials
BKD,Medical Care Facilities,Medical Care Facilities,medical-care-facilities,Healthcare,healthcare,Healthcare
ASIX,Chemicals,Chemicals,chemicals,Basic Materials,basic-materials,Basic Materials
HIMX,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
TNK,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
RLMD,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
PLL,Other Industrial Metals & Mining,Other Industrial Metals & Mining,other-industrial-metals-mining,Basic Materials,basic-materials,Basic Materials
ASTL,Steel,Steel,steel,Basic Materials,basic-materials,Basic Materials
QQQX,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
ETW,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
HESM,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
OII,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,oil-gas-equipment-services,Energy,energy,Energy
FNKO,Leisure,Leisure,leisure,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
NOAH,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
HFWA,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
BRBR,Packaged Foods,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,Consumer Defensive
RA,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
CAL,Apparel Retail,Apparel Retail,apparel-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
SIGA,Drug Manufacturers - Specialty & Generic,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Healthcare,healthcare,Healthcare
PLAB,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,semiconductor-equipment-materials,Technology,technology,Technology
RC,REIT - Mortgage,REIT - Mortgage,reit-mortgage,Real Estate,real-estate,Real Estate
ARQT,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
SHEN,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
ASLE,Airports & Air Services,Airports & Air Services,airports-air-services,Industrials,industrials,Industrials
MNKD,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
ERO,Copper,Copper,copper,Basic Materials,basic-materials,Basic Materials
CET,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
IMAX,Entertainment,Entertainment,entertainment,Communication Services,communication-services,Communication Services
SKYW,Airlines,Airlines,airlines,Industrials,industrials,Industrials
BCSF,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
QURE,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
GBX,Railroads,Railroads,railroads,Industrials,industrials,Industrials
PUBM,Software - Application,Software - Application,software-application,Technology,technology,Technology
GERN,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
BV,Specialty Business Services,Specialty Business Services,specialty-business-services,Industrials,industrials,Industrials
PDFS,Software - Application,Software - Application,software-application,Technology,technology,Technology
LWLG,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
KROS,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
AGRO,Farm Products,Farm Products,farm-products,Consumer Defensive,consumer-defensive,Consumer Defensive
AKRO,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
PUMP,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,oil-gas-equipment-services,Energy,energy,Energy
NVGS,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
RGR,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
CDRE,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
GENI,Internet Content & Information,Internet Content & Information,internet-content-information,Communication Services,communication-services,Communication Services
JELD,Building Products & Equipment,Building Products & Equipment,building-products-equipment,Industrials,industrials,Industrials
NRK,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
AMSF,Insurance - Specialty,Insurance - Specialty,insurance-specialty,Financial Services,financial-services,Financial Services
BHE,Electronic Components,Electronic Components,electronic-components,Technology,technology,Technology
CRLBF,Drug Manufacturers - Specialty & Generic,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Healthcare,healthcare,Healthcare
GOF,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
CUTR,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
SII,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
VALN,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
ULH,Trucking,Trucking,trucking,Industrials,industrials,Industrials
FWRG,Restaurants,Restaurants,restaurants,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
SPLP,Conglomerates,Conglomerates,conglomerates,Industrials,industrials,Industrials
IMXI,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
CHY,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
SBOEY,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,oil-gas-equipment-services,Energy,energy,Energy
JRVR,Insurance - Specialty,Insurance - Specialty,insurance-specialty,Financial Services,financial-services,Financial Services
GPRO,Consumer Electronics,Consumer Electronics,consumer-electronics,Technology,technology,Technology
UMH,REIT - Residential,REIT - Residential,reit-residential,Real Estate,real-estate,Real Estate
VNET,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
EOS,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
VLD,Computer Hardware,Computer Hardware,computer-hardware,Technology,technology,Technology
GAM,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
ACRS,Diagnostics & Research,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,Healthcare
CCO,Advertising Agencies,Advertising Agencies,advertising-agencies,Communication Services,communication-services,Communication Services
VIST,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
AOSL,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
MERC,Paper & Paper Products,Paper & Paper Products,paper-paper-products,Basic Materials,basic-materials,Basic Materials
ATEC,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
PAR,Software - Application,Software - Application,software-application,Technology,technology,Technology
CHCT,REIT - Healthcare Facilities,REIT - Healthcare Facilities,reit-healthcare-facilities,Real Estate,real-estate,Real Estate
AC,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
VREX,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
OM,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
ADTN,Communication Equipment,Communication Equipment,communication-equipment,Technology,technology,Technology
NEXT,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
NUVL,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
MQY,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
INVA,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
ACEL,Gambling,Gambling,gambling,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
JBSS,Packaged Foods,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,Consumer Defensive
PLRX,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
RIOT,Capital Markets,Capital Markets,capital-markets,Financial Services,financial-services,Financial Services
LPSN,Software - Application,Software - Application,software-application,Technology,technology,Technology
BROG,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
WASH,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
RDFN,Real Estate Services,Real Estate Services,real-estate-services,Real Estate,real-estate,Real Estate
ANGO,Medical Instruments & Supplies,Medical Instruments & Supplies,medical-instruments-supplies,Healthcare,healthcare,Healthcare
HQH,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
THRY,Internet Content & Information,Internet Content & Information,internet-content-information,Communication Services,communication-services,Communication Services
ANF,Apparel Retail,Apparel Retail,apparel-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
KAMN,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
ACCD,Health Information Services,Health Information Services,health-information-services,Healthcare,healthcare,Healthcare
PTLO,Restaurants,Restaurants,restaurants,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
PRTC,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
OSW,Leisure,Leisure,leisure,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
LBAI,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
SGMO,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
ADV,Advertising Agencies,Advertising Agencies,advertising-agencies,Communication Services,communication-services,Communication Services
QCRH,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
GB,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
VMEO,Software - Application,Software - Application,software-application,Technology,technology,Technology
DOLE,Farm Products,Farm Products,farm-products,Consumer Defensive,consumer-defensive,Consumer Defensive
HTD,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
KRNY,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
CLBT,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
ASTE,Farm & Heavy Construction Machinery,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,Industrials,industrials,Industrials
STGW,Advertising Agencies,Advertising Agencies,advertising-agencies,Communication Services,communication-services,Communication Services
IGR,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
PDS,Oil & Gas Drilling,Oil & Gas Drilling,oil-gas-drilling,Energy,energy,Energy
MLAB,Scientific & Technical Instruments,Scientific & Technical Instruments,scientific-technical-instruments,Technology,technology,Technology
PEBO,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
TWI,Farm & Heavy Construction Machinery,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,Industrials,industrials,Industrials
ORGN,Chemicals,Chemicals,chemicals,Basic Materials,basic-materials,Basic Materials
AWF,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
AOD,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
OPI,REIT - Office,REIT - Office,reit-office,Real Estate,real-estate,Real Estate
HFRO,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
RBCAA,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
ENFN,Software - Application,Software - Application,software-application,Technology,technology,Technology
CMCO,Farm & Heavy Construction Machinery,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,Industrials,industrials,Industrials
PROC,Drug Manufacturers - Specialty & Generic,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Healthcare,healthcare,Healthcare
SNPO,Electronics & Computer Distribution,Electronics & Computer Distribution,electronics-computer-distribution,Technology,technology,Technology
SLI,Other Industrial Metals & Mining,Other Industrial Metals & Mining,other-industrial-metals-mining,Basic Materials,basic-materials,Basic Materials
NMM,Marine Shipping,Marine Shipping,marine-shipping,Industrials,industrials,Industrials
CLB,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,oil-gas-equipment-services,Energy,energy,Energy
CNDT,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
HBNC,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
BY,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
MGIC,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
CHI,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
EFC,REIT - Mortgage,REIT - Mortgage,reit-mortgage,Real Estate,real-estate,Real Estate
RPAY,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
REPL,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
HIBB,Apparel Retail,Apparel Retail,apparel-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
CII,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
WLKP,Chemicals,Chemicals,chemicals,Basic Materials,basic-materials,Basic Materials
THQ,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
VHI,Chemicals,Chemicals,chemicals,Basic Materials,basic-materials,Basic Materials
HA,Airlines,Airlines,airlines,Industrials,industrials,Industrials
CHRS,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
RWT,REIT - Mortgage,REIT - Mortgage,reit-mortgage,Real Estate,real-estate,Real Estate
HWKN,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
SPNT,Insurance - Reinsurance,Insurance - Reinsurance,insurance-reinsurance,Financial Services,financial-services,Financial Services
BCX,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
WTTR,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
PBT,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
MRC,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,oil-gas-equipment-services,Energy,energy,Energy
FUBO,Broadcasting,Broadcasting,broadcasting,Communication Services,communication-services,Communication Services
INN,REIT - Hotel & Motel,REIT - Hotel & Motel,reit-hotel-motel,Real Estate,real-estate,Real Estate
VCSA,Software - Application,Software - Application,software-application,Technology,technology,Technology
ALEC,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
DRQ,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,oil-gas-equipment-services,Energy,energy,Energy
AVPT,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
GSBC,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
SHYF,Farm & Heavy Construction Machinery,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,Industrials,industrials,Industrials
CMPR,Advertising Agencies,Advertising Agencies,advertising-agencies,Communication Services,communication-services,Communication Services
SILV,Other Precious Metals & Mining,Other Precious Metals & Mining,other-precious-metals-mining,Basic Materials,basic-materials,Basic Materials
VTEX,Software - Application,Software - Application,software-application,Technology,technology,Technology
MOD,Auto Parts,Auto Parts,auto-parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
JPC,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
UTL,Utilities - Diversified,Utilities - Diversified,utilities-diversified,Utilities,utilities,Utilities
CAPL,Oil & Gas Refining & Marketing,Oil & Gas Refining & Marketing,oil-gas-refining-marketing,Energy,energy,Energy
AMWD,"Furnishings, Fixtures & Appliances","Furnishings, Fixtures & Appliances",furnishings-fixtures-appliances,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
TWOH,Software - Application,Software - Application,software-application,Technology,technology,Technology
ICHR,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,semiconductor-equipment-materials,Technology,technology,Technology
RAPT,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
VTOL,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,oil-gas-equipment-services,Energy,energy,Energy
NTST,REIT - Retail,REIT - Retail,reit-retail,Real Estate,real-estate,Real Estate
KARO,Software - Application,Software - Application,software-application,Technology,technology,Technology
MCB,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
GPRK,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
INVZ,Auto Parts,Auto Parts,auto-parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
GIII,Apparel Manufacturing,Apparel Manufacturing,apparel-manufacturing,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
PRDO,Education & Training Services,Education & Training Services,education-training-services,Consumer Defensive,consumer-defensive,Consumer Defensive
WINA,Specialty Retail,Specialty Retail,specialty-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
WRLD,Credit Services,Credit Services,credit-services,Financial Services,financial-services,Financial Services
CRBU,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
VEON,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
WKME,Software - Application,Software - Application,software-application,Technology,technology,Technology
CARS,Auto & Truck Dealerships,Auto & Truck Dealerships,auto-truck-dealerships,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
AHH,REIT - Diversified,REIT - Diversified,reit-diversified,Real Estate,real-estate,Real Estate
APGT,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
SCWX,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
NRDS,Internet Content & Information,Internet Content & Information,internet-content-information,Communication Services,communication-services,Communication Services
IMOS,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
WNC,Farm & Heavy Construction Machinery,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,Industrials,industrials,Industrials
ORLA,Gold,Gold,gold,Basic Materials,basic-materials,Basic Materials
REVG,Farm & Heavy Construction Machinery,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,Industrials,industrials,Industrials
DLX,Advertising Agencies,Advertising Agencies,advertising-agencies,Communication Services,communication-services,Communication Services
VVI,Specialty Business Services,Specialty Business Services,specialty-business-services,Industrials,industrials,Industrials
MATW,Conglomerates,Conglomerates,conglomerates,Industrials,industrials,Industrials
UFCS,Insurance - Property & Casualty,Insurance - Property & Casualty,insurance-property-casualty,Financial Services,financial-services,Financial Services
TLS,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
FMCB,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
SMP,Auto Parts,Auto Parts,auto-parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
ACHR,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
JMIA,Internet Retail,Internet Retail,internet-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
PHAR,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
SP,Specialty Business Services,Specialty Business Services,specialty-business-services,Industrials,industrials,Industrials
CTBI,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
CGBD,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
BSIG,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
RSKD,Software - Application,Software - Application,software-application,Technology,technology,Technology
MYI,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
CLVLY,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
LAND,REIT - Specialty,REIT - Specialty,reit-specialty,Real Estate,real-estate,Real Estate
TBPH,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
FORR,Consulting Services,Consulting Services,consulting-services,Industrials,industrials,Industrials
YSG,Household & Personal Products,Household & Personal Products,household-personal-products,Consumer Defensive,consumer-defensive,Consumer Defensive
HAFC,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
COCO,Beverages - Non-Alcoholic,Beverages - Non - Alcoholic,beverages-non-alcoholic,Consumer Defensive,consumer-defensive,Consumer Defensive
LAW,Software - Application,Software - Application,software-application,Technology,technology,Technology
MBIN,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
HONE,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
TCPC,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
NFBK,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
EIM,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
NRIX,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
CDE,Gold,Gold,gold,Basic Materials,basic-materials,Basic Materials
AUDC,Communication Equipment,Communication Equipment,communication-equipment,Technology,technology,Technology
FFC,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
LUNG,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
CRNC,Software - Application,Software - Application,software-application,Technology,technology,Technology
TIL,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
EB,Software - Application,Software - Application,software-application,Technology,technology,Technology
AVXL,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
BCYC,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
OXLC,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
AMAL,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
DYN,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
IGMS,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
KNSA,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
UVSP,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
TBI,Staffing & Employment Services,Staffing & Employment Services,staffing-employment-services,Industrials,industrials,Industrials
CSTL,Diagnostics & Research,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,Healthcare
PDT,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
NSTG,Medical Instruments & Supplies,Medical Instruments & Supplies,medical-instruments-supplies,Healthcare,healthcare,Healthcare
CEPU,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
ITOS,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
BRY,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
DAO,Education & Training Services,Education & Training Services,education-training-services,Consumer Defensive,consumer-defensive,Consumer Defensive
PLYM,REIT - Industrial,REIT - Industrial,reit-industrial,Real Estate,real-estate,Real Estate
SCSC,Electronics & Computer Distribution,Electronics & Computer Distribution,electronics-computer-distribution,Technology,technology,Technology
LIFX,Software - Application,Software - Application,software-application,Technology,technology,Technology
SLAM,Shell Companies,Shell Companies,shell-companies,Financial Services,financial-services,Financial Services
ANAB,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
FC,Education & Training Services,Education & Training Services,education-training-services,Consumer Defensive,consumer-defensive,Consumer Defensive
JQC,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
HMST,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
MOR,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
LEV,Farm & Heavy Construction Machinery,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,Industrials,industrials,Industrials
MIRM,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
MYTAY,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
BLND,Software - Application,Software - Application,software-application,Technology,technology,Technology
